"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"10.215.173.1",1385,451544,783,282602,602,168942,"","","",""
"23.56.109.139",27,1308,12,528,15,780,"","","",""
"23.56.109.176",45,15912,21,12148,24,3764,"","","",""
"23.56.109.177",210,95386,87,18696,123,76690,"","","",""
"23.56.109.185",17,2063,8,958,9,1105,"","","",""
"23.56.109.194",122,29691,57,22232,65,7459,"","","",""
"23.56.109.195",87,37892,35,11224,52,26668,"","","",""
"23.56.109.200",50,9275,23,4346,27,4929,"","","",""
"23.56.109.203",41,13930,20,11005,21,2925,"","","",""
"23.56.109.208",14,684,6,264,8,420,"","","",""
"23.56.109.211",40,24886,19,19814,21,5072,"","","",""
"92.123.100.81",42,14099,20,11134,22,2965,"","","",""
"92.123.100.82",8,376,4,176,4,200,"","","",""
"92.123.100.83",256,116086,98,12715,158,103371,"","","",""
"92.123.100.88",8,376,4,176,4,200,"","","",""
"92.123.100.89",8,376,4,176,4,200,"","","",""
"92.123.100.90",14,684,6,264,8,420,"","","",""
"92.123.100.97",34,8460,17,6271,17,2189,"","","",""
"92.123.100.98",57,16460,26,12302,31,4158,"","","",""
"92.123.100.105",41,14526,20,11417,21,3109,"","","",""
"92.123.100.106",8,376,4,176,4,200,"","","",""
"92.123.100.113",8,376,4,176,4,200,"","","",""
"92.123.100.114",8,376,4,176,4,200,"","","",""
"92.123.100.123",18,872,8,352,10,520,"","","",""
"92.123.100.131",31,1496,14,616,17,880,"","","",""
"92.123.100.136",22,1060,10,440,12,620,"","","",""
"92.123.100.139",39,3123,18,1398,21,1725,"","","",""
"92.123.100.145",76,31533,27,2895,49,28638,"","","",""
"92.123.100.146",18,872,8,352,10,520,"","","",""
"92.123.100.147",36,8990,18,6515,18,2475,"","","",""
