"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"10.215.173.1",1124,360829,619,203433,505,157396,"","","",""
"23.44.4.18",8,376,4,176,4,200,"","","",""
"23.44.4.72",8,376,4,176,4,200,"","","",""
"23.44.4.81",8,376,4,176,4,200,"","","",""
"23.44.4.83",8,376,4,176,4,200,"","","",""
"23.44.4.89",46,14953,23,10749,23,4204,"","","",""
"23.44.4.105",8,376,4,176,4,200,"","","",""
"23.44.4.112",8,376,4,176,4,200,"","","",""
"23.44.4.113",8,376,4,176,4,200,"","","",""
"23.44.4.130",8,376,4,176,4,200,"","","",""
"23.56.109.58",12,564,6,264,6,300,"","","",""
"23.56.109.59",8,376,4,176,4,200,"","","",""
"23.56.109.67",27,6535,13,5318,14,1217,"","","",""
"23.56.109.80",12,564,6,264,6,300,"","","",""
"23.56.109.89",123,50151,53,28758,70,21393,"","","",""
"23.56.109.91",16,752,8,352,8,400,"","","",""
"23.56.109.97",8,376,4,176,4,200,"","","",""
"23.56.109.98",4,188,2,88,2,100,"","","",""
"23.56.109.99",8,376,4,176,4,200,"","","",""
"23.56.109.112",8,376,4,176,4,200,"","","",""
"23.56.109.137",19,9622,9,7055,10,2567,"","","",""
"23.56.109.177",4,188,2,88,2,100,"","","",""
"23.56.109.179",25,6455,12,5278,13,1177,"","","",""
"23.56.109.184",42,14095,21,11172,21,2923,"","","",""
"23.56.109.186",41,14390,20,10964,21,3426,"","","",""
"23.56.109.193",8,376,4,176,4,200,"","","",""
"23.56.109.194",73,33936,25,3001,48,30935,"","","",""
"23.56.109.202",81,30959,32,3710,49,27249,"","","",""
"23.56.109.208",16,752,8,352,8,400,"","","",""
"92.123.100.90",8,376,4,176,4,200,"","","",""
"92.123.100.91",66,25146,32,20326,34,4820,"","","",""
"92.123.100.99",8,376,4,176,4,200,"","","",""
"92.123.100.104",58,18684,24,2603,34,16081,"","","",""
"92.123.100.107",16,752,8,352,8,400,"","","",""
"92.123.100.122",16,752,8,352,8,400,"","","",""
"92.123.100.131",36,8872,19,6437,17,2435,"","","",""
"92.123.100.137",164,76306,62,7004,102,69302,"","","",""
"92.123.100.147",17,2063,8,958,9,1105,"","","",""
"104.93.28.9",71,28974,35,22333,36,6641,"","","",""
"104.93.28.49",19,9536,9,6978,10,2558,"","","",""
