"Address","Packets","Bytes","Tx Packets","Tx Bytes","Rx Packets","Rx Bytes","Country","City","AS Number","AS Organization"
"10.215.173.1",497,184058,276,88205,221,95853,"","","",""
"23.56.109.185",42,14105,20,11163,22,2942,"","","",""
"23.56.109.186",25,16758,11,12858,14,3900,"","","",""
"23.56.109.201",4,188,2,88,2,100,"","","",""
"92.123.100.11",8,376,4,176,4,200,"","","",""
"92.123.100.26",8,376,4,176,4,200,"","","",""
"92.123.100.57",8,376,4,176,4,200,"","","",""
"92.123.100.59",8,376,4,176,4,200,"","","",""
"92.123.100.66",8,376,4,176,4,200,"","","",""
"92.123.100.72",8,376,4,176,4,200,"","","",""
"92.123.100.91",4,188,2,88,2,100,"","","",""
"92.123.100.96",75,26294,35,20914,40,5380,"","","",""
"92.123.100.107",4,188,2,88,2,100,"","","",""
"92.123.100.123",144,78545,51,12630,93,65915,"","","",""
"92.123.100.147",4,188,2,88,2,100,"","","",""
"104.93.28.9",8,376,4,176,4,200,"","","",""
"104.93.28.24",53,16272,22,12096,31,4176,"","","",""
"104.93.28.40",43,21413,24,18898,19,2515,"","","",""
"104.93.28.49",8,376,4,176,4,200,"","","",""
"104.93.28.51",8,376,4,176,4,200,"","","",""
"104.93.28.56",19,6159,10,5182,9,977,"","","",""
"104.93.28.57",8,376,4,176,4,200,"","","",""
